,0,1,2,3,4,5,6,Unnamed: 0,coverage,depth,homogeneity,lift,number_of_variable,pred
0,,,,,,,,0.0,0.802,1.0,0.976,1.0869,1.0,0.0
1,,,,,,,,1.0,0.126,2.0,0.8909999999999999,0.9922,2.0,0.0
2,,,,,,,,2.0,0.07200000000000001,2.0,0.9520000000000001,9.3333,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.8079999999999999,1.0,0.978,1.084,1.0,0.0
1,,,,,,,,1.0,0.125,2.0,0.892,0.9886,2.0,0.0
2,,,,,,,,2.0,0.068,2.0,0.985,10.0767,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.8109999999999999,1.0,0.9790000000000001,1.0803,1.0,0.0
1,,,,,,,,1.0,0.125,2.0,0.892,0.9843,2.0,0.0
2,,,,,,,,2.0,0.064,2.0,0.9840000000000001,10.495999999999999,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.8,1.0,0.978,1.084,1.0,0.0
1,,,,,,,,1.0,0.13,2.0,0.895,0.992,2.0,0.0
2,,,,,,,,2.0,0.07,2.0,0.9540000000000001,9.7596,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.8029999999999999,1.0,0.98,1.0835,1.0,0.0
1,,,,,,,,1.0,0.129,2.0,0.8859999999999999,0.9795,2.0,0.0
2,,,,,,,,2.0,0.068,2.0,0.9520000000000001,9.9686,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.784,1.0,0.982,1.0878,1.0,0.0
1,,,,,,,,1.0,0.138,2.0,0.888,0.9837,2.0,0.0
2,,,,,,,,2.0,0.077,2.0,0.88,9.0488,2.0,1.0
0,,,,,,,,,,,,,,
0,,,,,,,,0.0,0.804,1.0,0.9790000000000001,1.0815,1.0,0.0
1,,,,,,,,1.0,0.129,2.0,0.897,0.9909,2.0,0.0
2,,,,,,,,2.0,0.068,2.0,0.948,10.0053,2.0,1.0
